aid,uid,label,advertiserId,campaignId,creativeId,creativeSize,adCategoryId,productId,productType,age,gender,marriageStatus,education,consumptionAbility,LBS,interest1,interest2,interest3,interest4,interest5,kw1,kw2,kw3,topic1,topic2,topic3,appIdInstall,appIdAction,ct,os,carrier,house
627,17557009,0,8203,27748,690929,109,1,0,6,3,2.0,13 10,1,2,189.0,93 70 37 109 75 76 28 29 42 73 39 46 62 36 11 117,47 58 53 71,,,100 72 80 131 37 47 71 8 113 28 6 20 46 59 10 114,369060 527758 678945 83318 482526,102474 101564 4837 34154 38532,,9891 689 4801 3383 945,8704 8570 3855 8204 8282,,,,1 4 3,2 1,1,
1502,17401944,1,9056,13766,988736,79,21,0,4,4,1.0,13,2,1,232.0,,,,,,,18185 18468 110744 24701 50094,,,8193 605 8197 4261 9629,,,,0,0,0,
1993,55569517,0,44008,366845,1232232,79,21,0,4,1,1.0,5 13,7,1,802.0,93 86 109 12 98 47 75 8 29 49 6 73 72 46 112 36 11 118 59 122 39 71 23 57 116 65 3,47 9 32,,,100 72 37 116 13 71 8 50 6 42 76 27 46 94 68 56 26 52 131 107 113 73 62 121 123 59 129 93,498821 348386 711071 109558 370311,90248 39727 56819 19826 36865,,5561 2522 46 9826 5396,6972 9292 8402 2474 1503,,,,3 1 2,1,1,
1505,17799681,0,285,13953,328499,20,1,0,6,5,1.0,11,7,0,711.0,,,,,116 13 78 30 9 121 94,,18752 56906 18185 56183 56819,,1307 2447 185 9826 6217,1732 509 3600 6145 1104,,,,1,1,3,
210,10887549,0,33027,158787,1047515,35,45,0,4,5,1.0,10,2,0,549.0,75 29 36 11,24 73 52 21 30,,,,460714 695723 526870 27326 775554,66348 117586 34410 109981 94093,,4535 644 537 5089 9826,1704 3929 6442 6238 3773,,,,3 1,1,0,
235,22378147,0,702,15634,1517041,35,24,5615,11,3,2.0,11,7,2,85.0,70 77 37 47 75 8 29 49 6 42 73 46 35 56 36 11 118 100 76 48 28 106 67 84 71 23 17 9 87,70 54,,,52 72 80 131 37 116 11 13 79 8 113 69 6 42 9 89 46 121 59 14 64 129,730501 538596 243544 256050 100680,85039 98059 91187 109745 68730,,727 3919 3414 5082 2746,5566 1380 7477 2391 3432,,,,3 1,2,1,
986,7259705,0,327,127947,165916,22,67,113,9,5,2.0,0,0,0,0.0,98 75 29 36 11,73,,,,246864,,,7684 8840 6143 5596 5899,,,,,0,0,0,
860,21596931,0,9056,130718,499035,79,21,0,4,4,1.0,11,7,2,928.0,93 70 98 76 75 28 16 106 29 59 67 49 41 6 95 46 116 36 11,,,,,53354 659836 696798 511862 6537,1225 90248 117586 109344 98086,,2353 8034 9826 4582 6816,7684 6100 9708 4159 895,,,,1 3,1,0,
55,59286353,0,17597,51385,1774967,35,27,0,6,2,2.0,13 10,2,2,306.0,75 29,22 46 70 72 54,,,116 73,53354 532453,50037 56505 19007 24289 22795,,5099 7816 1564 6562 8853,195 9153 345 6064 7383,,,,0,2,1,
1139,13048663,0,18621,154634,206919,35,21,0,4,1,2.0,10,2,0,161.0,75 29,46 29,,,,147950 57239,23107 37224 95007 117462 60276,,9389 9947 2159 7641 9749,2700 163 5927 4462 2670,,,,0,0,0,
1139,74743061,0,18621,154634,206919,35,21,0,4,5,2.0,5 13,7,1,418.0,70 118 12 75 69 28 8 29 49 18 55 36 34 11 20,46 37,,,116 4 50 28 6 132 5 76 55 27 46 121 59 60 129 130 40,679950 515684 650153 421439 341503,93952 46843 118476 30993 10420,,380 5719 4399 8497 7621,5604 5584 4470 2089 1326,,,,1 3,2,1,
1795,48449325,0,327,8280,1224914,35,67,113,9,2,2.0,13 10,1,2,808.0,,79 24 46 70 6 21 30 72 54,,,,,78361 48907 12622 10541 32928,,,2324 2002 3212 9480 6123,,,,0,0,0,
114,73713227,0,17597,51385,1055915,35,71,0,6,2,2.0,10,6,2,794.0,70 76 28 42 17 56 62 36 11,51 47 73 79 69 1 46 70 6 74 72 54 10,,,92 116 13 78 4 109 30 86 6 76 46 121 94 59 35 120 93,503318 8561 129134 181856 171741,109642 46611 15941 80747 32361,,4321 8462 1485 9978 1595,7723 1553 8778 1911 4925,,,,3 1,1,1,
25,46739656,0,15174,26003,709671,59,102,0,6,4,1.0,10,7,0,94.0,75 16 29 59 49,4 48,,,72 92 116 128 113 50 86 6 132 42 121 59 60 64,630314 500676 659836 554945 75173,95953 51938 53212 93664 105942,,9826 6612 4243 5648 6317,4513 644 4724 5247 5942,,,,0,0,3,
