aid,uid,label
692,9459740,-1
2013,77708424,-1
1201,4159960,-1
1140,54311556,-1
2031,56334191,-1
411,35867075,-1
1716,9081711,1
1230,7634686,-1
302,45092393,-1
136,80983563,-1
1918,3767392,-1
1991,68854030,-1
212,5409228,-1
1508,9477718,-1
1407,7669606,-1
903,75983926,-1
1407,31994533,-1
411,57798594,-1
432,31844262,-1
1950,58475682,-1
206,79179676,-1
12,26382834,-1
2048,20376926,1
1622,59696169,-1
1291,1116996,-1
966,16564435,-1
191,12469668,-1
692,4589700,-1
914,3647046,-1
471,29994780,-1
1119,70189057,-1
12,21275748,-1
846,56108672,-1
1254,31665966,-1
1728,68382163,-1
191,66415962,-1
191,11855742,-1
853,69815578,-1
1017,28114112,-1
411,51399970,-1
1119,11785520,-1
1468,78293964,-1
2169,39329202,-1
692,5153690,-1
846,60123066,-1
2031,42626111,-1
692,61144029,-1
686,330040,-1
286,8819576,-1
1566,23995898,-1
692,14005556,-1
1842,27011119,-1
1483,67374226,-1
2013,78109021,-1
1119,5252884,-1
1672,20199917,-1
311,68653786,-1
846,77991063,-1
1291,27890341,-1
1716,44009392,-1
2112,42429267,-1
2118,19129212,-1
1407,19478114,-1
12,75992514,-1
1904,8398639,-1
191,13827980,-1
191,44520588,-1
191,67034389,1
914,78459340,-1
1918,22767775,-1
411,38651522,-1
792,46726082,-1
191,22338887,-1
1841,14136087,-1
1119,49584841,-1
725,12663274,-1
561,15084575,-1
136,19438261,-1
914,15426639,-1
561,68508156,-1
1377,20180532,-1
692,50054397,-1
411,7293629,-1
686,18352705,-1
966,59261962,-1
916,34184748,-1
389,61276154,-1
1291,48259299,-1
1566,4431197,1
613,54160904,-1
70,1062146,-1
1377,43587571,-1
561,6350962,-1
6,45474534,-1
231,38199204,-1
561,2998428,-1
1918,53983964,-1
411,32203025,-1
914,56064049,-1
286,70753934,-1
420,80971493,-1
191,76636207,-1
1827,78641030,-1
136,48278961,-1
1017,25037733,-1
1819,75119004,-1
519,51181056,-1
1119,6054077,-1
692,58328623,-1
2118,59460089,1
671,4609808,-1
369,21576988,-1
191,58826098,-1
404,2723981,-1
561,3148758,-1
1415,49218778,-1
117,52040911,-1
1338,65078793,-1
561,10060239,-1
692,75405632,-1
70,72073570,-1
1918,10164220,-1
914,15862013,-1
1415,6326329,-1
1338,81556766,-1
1605,40801220,-1
436,38671307,-1
1254,51865348,-1
432,76922673,-1
692,30219396,-1
191,54191210,-1
191,11721257,-1
2050,23717983,-1
1507,21144441,-1
2169,51760680,-1
561,68279436,-1
389,19666266,-1
369,17952080,-1
1468,48457094,-1
1017,18068977,-1
692,33344231,-1
121,19252781,-1
1781,10935815,-1
1566,3012434,-1
231,37722477,-1
432,41203684,-1
1904,34092436,-1
561,17341814,-1
692,48505357,-1
561,79508852,-1
692,52080737,-1
692,63774084,1
561,37020722,-1
692,82323959,-1
1910,49091264,-1
1119,15236026,-1
2013,22695360,-1
1966,51608060,-1
748,48058304,-1
136,51987233,-1
1507,13169059,-1
1950,22864739,-1
692,6193551,-1
231,838383,1
1027,28467431,-1
1918,51459993,-1
543,49089815,-1
302,16765030,-1
1291,80125839,-1
1027,72739779,-1
1468,15681049,-1
692,13817293,-1
389,23343433,-1
1119,32307029,-1
2031,49363929,-1
1021,590606,-1
1291,48226785,-1
302,32597492,1
302,33854695,-1
191,67442760,-1
543,65529279,-1
725,15872559,-1
231,54632437,-1
1119,19466587,-1
1781,25623336,-1
1140,51358192,-1
404,10356843,-1
765,75215099,-1
7,4889901,-1
916,35312294,-1
1566,81158080,-1
1468,3538945,-1
1201,19593791,-1
516,52343931,-1
561,32041407,-1
1017,19132803,-1
1950,31647393,-1
914,68452474,-1
1291,65034499,-1
561,39884461,-1
561,77201933,-1
1338,3567713,-1
117,60784143,-1
420,61343140,-1
1918,32480586,-1
121,59948858,-1
1728,23630380,-1
1566,48236574,-1
2196,77731417,-1
1605,9011717,-1
1749,5103266,-1
914,70919791,-1
853,70279053,-1
231,62200331,1
2118,17190357,-1
302,73681206,-1
1950,5159351,-1
1291,48138024,-1
1017,66082749,-1
914,32759042,-1
